acc,optim,config
0.60772,sgd,"{'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0001}"
0.63014,sgd,"{'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.001}"
0.75684,sgd,"{'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.01}"
0.45894,sgd,"{'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.1}"
0.73368,adam,"{'lr': 0.01, 'weight_decay': 1e-05}"
0.81038,adam,"{'lr': 0.01, 'weight_decay': 0.0001}"
0.80166,adam,"{'lr': 0.01, 'weight_decay': 0.001}"
0.76896,adam,"{'lr': 0.005, 'weight_decay': 1e-05}"
0.81472,adam,"{'lr': 0.005, 'weight_decay': 0.0001}"
0.82024,adam,"{'lr': 0.005, 'weight_decay': 0.001}"