Epoch,frosty-sweep-18,floral-sweep-17,spring-sweep-16,morning-sweep-14,helpful-sweep-13,sunny-sweep-12,happy-sweep-11,silvery-sweep-10,zesty-sweep-9,copper-sweep-8,polished-sweep-7,logical-sweep-6,fearless-sweep-5,robust-sweep-4,brisk-sweep-3,lucky-sweep-2,giddy-sweep-1
1,1.860029723333276,1.8515575901626624,1.8364978150638476,2.012099473372749,2.020775132471948,2.099687366534377,2.079386001657647,2.088310747195388,1.9364978992725577,1.835879471905701,1.8236746220942348,1.763370427329217,1.8041509963057536,1.754330831415513,1.806106624091068,1.830187902731054,1.8204753923294184
2,1.449086115488311,1.4564983247186216,1.4308690201595922,1.6939063441113134,1.6992230900108356,1.8174788579916408,1.7910194723197566,1.800560496957101,1.3489494370987347,1.2403800115560937,1.2333903934644617,1.2586234893335406,1.2556097608088228,1.2399887248988042,1.3295330310721531,1.3240432999932858,1.3128507070224305
3,1.2507112710677144,1.2562951248929934,1.240221280271135,1.5381221813923869,1.538541438024672,1.6682870604498,1.6627969305838466,1.6526602000531638,1.046180319908025,0.9432105141527511,0.9289736511457302,1.0130287431694966,0.9868071836888638,0.9732497116488874,1.0991905639543558,1.083707032301237,1.067128760430514
4,1.0972282234055306,1.0966112753924202,1.0919115796418446,1.4184014281958266,1.4217936803617746,1.566578677243284,1.561797928932073,1.5507170464986426,0.8310641757667522,0.7480365934274386,0.734812768295293,0.8358005478863826,0.8168738620055606,0.8050276246826972,0.93568839350015,0.9212690067413212,0.892528700401716
5,0.975959127821276,0.976255703460225,0.9644859985012532,1.3299382653687617,1.3269916775891235,1.4794667532376926,1.46687024847016,1.4613404789239244,0.6883335170690971,0.6198481309901723,0.611690925286554,0.6999800433130825,0.6858394068982595,0.6759018489466909,0.8116181485183404,0.7925748796109349,0.7689971192108701
6,0.8824298262901014,0.8796993440679272,0.8660623719320273,1.2480831589845136,1.241533855343109,1.403358781734086,1.3945599175475138,1.3847676710704404,0.5995621723897012,0.5386969575949032,0.5346602308933083,0.6061074494400902,0.5976316306902014,0.5856600537172059,0.7144834230775419,0.6892683179024846,0.6670681958460747
7,0.7991642154696043,0.7955231201618224,0.7893060714082645,1.17294326752348,1.1640863872854912,1.341270421167164,1.329604794302255,1.3177739439717948,0.5331635600922967,0.4791254349757948,0.4759426270147114,0.538516136157848,0.5263746093453654,0.5214338097578425,0.6286419664350007,0.6081160157537826,0.5951644917735663
8,0.7295700816242287,0.7243288215773794,0.7171851645802598,1.1108622944263546,1.0975510991747728,1.2862704998391974,1.2703598307831514,1.2601705935909926,0.4784515657083458,0.4316527360997846,0.4226186743477726,0.4838895823644555,0.4697347696479934,0.4663430498841474,0.5636855457597376,0.5479775577250039,0.5363094704535306
9,0.659338980303396,0.6613679580828723,0.6480324233279509,1.0435109873257025,1.0325253040284452,1.2280757251907797,1.2123167600168292,1.2066973104806202,0.4310758618442604,0.3929940854268305,0.3837569580815942,0.4377863750509593,0.4267466160494958,0.4204517433329311,0.5080239515932624,0.4954890027223035,0.4840853417773381
10,0.6061484118556733,0.6074006161116579,0.5964968028428305,0.9931540309315752,0.9769165752184056,1.1772873816282854,1.1653899198297957,1.1567333831506617,0.3924598951092766,0.3611981132451226,0.3500330924911572,0.3919897766216941,0.3856202703531441,0.3838065098161283,0.4622067439434169,0.451248304313406,0.4445462809194384
11,0.5612515823920364,0.5669315733263255,0.5491193023026751,0.9394443341533242,0.9241683844410246,1.1321801787142254,1.114781138232297,1.1123849930970564,0.3626343546544804,0.329129421611881,0.322827593025649,0.3652986370389114,0.3593670790610106,0.3576573235985568,0.4342889359692478,0.4190664908007892,0.4153991788625717
12,0.5178682147846807,0.5206014634398244,0.502653695433341,0.8933257721269222,0.8788073192472043,1.0873982398711202,1.0707668695608368,1.0678145243688617,0.3320339843440238,0.3035965192386561,0.2980039341904013,0.3348072973815986,0.3284904050171527,0.3256672074651474,0.3916184337395231,0.3840493781258688,0.3764087208701521
13,0.4755081587740222,0.4827112196504002,0.4720654473890124,0.8483736667486713,0.8362324958872003,1.045906746326505,1.0270726596912765,1.0247228767560876,0.3099863245664045,0.2814428816213632,0.2772573758764645,0.3107056137545944,0.3020393547347134,0.3029105430063994,0.3652290909567757,0.3579817328535382,0.3560647441984138
14,0.449091979228627,0.4542765809828058,0.4398750078190318,0.8130335621821606,0.8000497612197076,1.0023067284118183,0.992289616323798,0.989205288307746,0.2863069716507516,0.257984804947053,0.2525013226091557,0.2853288553331209,0.2795417678478124,0.2816164737086162,0.3378283864511248,0.3314324203888169,0.329067133309896
15,0.419351312243725,0.4275021869736864,0.4103062235943192,0.7758301171805243,0.7612164354385318,0.962838749903852,0.9578417461851368,0.9557900837315316,0.2664242562697366,0.2419073692596781,0.2428267020779802,0.2659774992586401,0.2687890235420383,0.2628111732585351,0.314955042451239,0.310689705488322,0.3081774378524107
16,0.3885218864664092,0.397299847525099,0.3867883883473818,0.7405358622293643,0.7278495420275441,0.9262909890745606,0.9242409144521064,0.9234796424046195,0.2466799153772461,0.2241034576731264,0.2255330309462364,0.2507796608426077,0.2474231166607888,0.2493659190623961,0.301662693891074,0.2931386394345242,0.2908833491832704
17,0.3661319200340134,0.3689513669904236,0.3622034867020214,0.7094488284167122,0.6946494176107294,0.8932703145019844,0.8928146066568087,0.8915568399612251,0.232863903903138,0.2112243956578967,0.2090955794124347,0.229256059336083,0.2288342603217915,0.2271749296456651,0.2754893753382251,0.2731770802374996,0.2678730430467354
18,0.3452786377552525,0.3520448634691555,0.3424381151452393,0.6840262758305006,0.6630451973441922,0.8655614639487108,0.8654006583916257,0.862059806313966,0.2175886406541785,0.2032681505774598,0.1960871658476112,0.2147079641594911,0.2149810087307334,0.2119172149149658,0.2571919089769158,0.2554301520823822,0.2555524682259316
19,0.3274227304912894,0.3304484178266866,0.3166882570289894,0.6508711800550866,0.6352245982193276,0.8362901660487475,0.8428838670711079,0.844961995054084,0.201705149544017,0.1859337803824326,0.1807912953407563,0.2041916266998366,0.203432291002987,0.2060110324141009,0.2408547766335175,0.2396562859949553,0.2334256831489865
20,0.3064679797653042,0.3080683811698728,0.3043129791689041,0.6202969023638674,0.601784488429194,0.8075006009672608,0.8152924631257801,0.8169234163316009,0.1880230023847211,0.1712556319773349,0.16686561980935,0.1866381979259231,0.1851335024494496,0.1876240616278423,0.2228474646921048,0.2227735410413474,0.2205817953819204
21,0.2897079007514297,0.2915564432473438,0.2857060541048684,0.6007290368952105,0.5834409908565414,0.7819417122075015,0.7886872575106219,0.7908008900444831,0.1768971200260664,0.1628831984270411,0.165294780183936,0.1762607096387144,0.1731735447235881,0.1751648349797024,0.2124232548429533,0.2124498916594573,0.2067011787039239
22,0.2746075518676997,0.2796964864901569,0.2701037738024426,0.5756550938881877,0.5510579411635923,0.7612165996180776,0.755922186252711,0.7695175493159867,0.1656322727537216,0.1503546182018564,0.1505940021075251,0.1667177477741942,0.1702955649770282,0.1657617159016297,0.1989980350484323,0.1996967213995316,0.1984828955796368
23,0.2569082394966384,0.2645470026089712,0.2524552710563935,0.5511186382044917,0.5287879883023479,0.739187580621456,0.7347989435238607,0.7451389356494864,0.1623997218392389,0.1458723524304302,0.146262610488383,0.1604434615548919,0.1549771270521766,0.1571514023958569,0.1931952445403389,0.1897977675547075,0.189201609481631
24,0.2472443363779341,0.2471081169174455,0.2387765885123511,0.53698148492657,0.5086344867716055,0.7185045870978509,0.7177109032335793,0.7238481489136396,0.1543627106263052,0.1388839476020135,0.1337468574619125,0.1456357959248221,0.146109707167615,0.1466975423895642,0.1744154964185431,0.1728153804607708,0.1727568282819617
25,0.2318562462430476,0.2330377976531567,0.2252927617077022,0.507622812715028,0.4907798979745801,0.6976568119605179,0.6972086208555704,0.7013289895661347,0.1367414419341575,0.123409777241366,0.1275643262145159,0.1345403302184608,0.1385281596647199,0.1344495695131971,0.1672467074411756,0.1646471289951173,0.1663293439389952
