"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","div_factor","epochs","epochs_sched","factor","final_div_factor","lr","min_lr","momentum","optimizer","patience","pct_start","threshold","threshold_mode","weight_decay","test/accuracy","train/accuracy","train/avg-loss","train/epoch","train/loss_epoch","train/lr","train/train_accuracy","train/train_loss","train/train_lr","val/val_accuracy","val/val_loss"
"frosty-sweep-18","56iad1q1","finished","-","nicolovergaro","","2022-05-11T19:29:25.000Z","2797","35q523fv","","","","","","","0.001","","0.9","","","","","","0","0.855","","0.2318562462430476","","","","","","","",""
"floral-sweep-17","vfs3jew0","finished","-","pietrocagnasso","","2022-05-11T19:29:21.000Z","2801","35q523fv","","","","","","","0.001","","0.9","","","","","","0.00001","0.853","","0.23303779765315677","","","","","","","",""
"spring-sweep-16","fnpiyz1s","finished","-","pietrocagnasso","","2022-05-11T19:26:38.000Z","11505","35q523fv","","","","","","","0.001","","0.9","","","","","","0.0001","0.8536","","0.2252927617077023","","","","","","","",""
"morning-sweep-14","56iad1q1","finished","-","nicolovergaro","","2022-05-11T18:42:39.000Z","2800","35q523fv","","","","","","","0.001","","0.7","","","","","","0.00001","0.7926","","0.507622812715028","","","","","","","",""
"helpful-sweep-13","vfs3jew0","finished","-","pietrocagnasso","","2022-05-11T18:42:34.000Z","2801","35q523fv","","","","","","","0.001","","0.7","","","","","","0.0001","0.7946","","0.49077989797458016","","","","","","","",""
"sunny-sweep-12","i866iqhx","finished","-","pietrocagnasso","","2022-05-11T18:02:12.000Z","5350","35q523fv","","","","","","","0.001","","0.5","","","","","","0","0.7217","","0.6976568119605179","","","","","","","",""
"happy-sweep-11","56iad1q1","finished","-","nicolovergaro","","2022-05-11T17:55:53.000Z","2802","35q523fv","","","","","","","0.001","","0.5","","","","","","0.00001","0.7345","","0.6972086208555704","","","","","","","",""
"silvery-sweep-10","vfs3jew0","finished","-","pietrocagnasso","","2022-05-11T17:55:50.000Z","2800","35q523fv","","","","","","","0.001","","0.5","","","","","","0.0001","0.7258","","0.7013289895661347","","","","","","","",""
"zesty-sweep-9","56iad1q1","finished","-","nicolovergaro","","2022-05-11T17:08:46.000Z","2820","35q523fv","","","","","","","0.01","","0.9","","","","","","0","0.8907","","0.13674144193415752","","","","","","","",""
"brisk-sweep-3","vfs3jew0","finished","-","pietrocagnasso","","2022-05-11T17:08:45.000Z","2820","35q523fv","","","","","","","0.01","","0.9","","","","","","0.00001","0.8982","","0.123409777241366","","","","","","","",""
"polished-sweep-7","w3ejof1c","finished","-","nicolovergaro","","2022-05-11T16:49:25.000Z","11399","35q523fv","","","","","","","0.01","","0.9","","","","","","0.0001","0.8864","","0.12756432621451594","","","","","","","",""
"logical-sweep-6","326lwlnx","finished","-","pietrocagnasso","","2022-05-11T16:34:39.000Z","11262","35q523fv","","","","","","","0.01","","0.7","","","","","","0","0.8882","","0.13454033021846085","","","","","","","",""
"fearless-sweep-5","i866iqhx","finished","-","pietrocagnasso","","2022-05-11T16:32:35.000Z","5372","35q523fv","","","","","","","0.01","","0.7","","","","","","0.00001","0.8921","","0.1385281596647199","","","","","","","",""
"robust-sweep-4","jsx51tpa","finished","-","pietrocagnasso","","2022-05-11T16:30:31.000Z","11622","35q523fv","","","","","","","0.01","","0.7","","","","","","0.0001","0.89","","0.13444956951319714","","","","","","","",""
"copper-sweep-8","43m4yyx5","finished","-","pietrocagnasso","","2022-05-11T16:28:14.000Z","11284","35q523fv","","","","","","","0.01","","0.5","","","","","","0","0.8762","","0.16724670744117567","","","","","","","",""
"lucky-sweep-2","fnpiyz1s","finished","-","pietrocagnasso","","2022-05-11T16:13:43.000Z","11570","35q523fv","","","","","","","0.01","","0.5","","","","","","0.00001","0.8774","","0.16464712899511733","","","","","","","",""
"giddy-sweep-1","coc9jflt","finished","-","pietrocagnasso","","2022-05-11T15:59:33.000Z","11498","35q523fv","","","","","","","0.01","","0.5","","","","","","0.0001","0.8522","","0.1663293439389952","","","","","","","",""