norm,independence,balancement,round,test_loss,test_accuracy
BN,iid,balanced,1.0,2.3371698735635493,0.09953333333333332
BN,iid,balanced,2.0,2.3767738714499815,0.10366666666666668
BN,iid,balanced,3.0,2.384084999309813,0.12256666666666666
BN,iid,balanced,4.0,2.2184228504760353,0.15393333333333334
BN,iid,balanced,5.0,2.0945336999772475,0.18873333333333334
BN,iid,balanced,6.0,2.075555937199653,0.19456666666666667
BN,iid,balanced,7.0,2.0201622795958056,0.2101666666666667
BN,iid,balanced,8.0,1.9697988385389626,0.22996666666666665
BN,iid,balanced,9.0,1.9390818428892629,0.23116666666666666
BN,iid,balanced,10.0,1.919346688668939,0.25533333333333336
BN,iid,balanced,11.0,1.9621071579084115,0.24733333333333332
BN,iid,balanced,12.0,1.9014028446583808,0.26033333333333336
BN,iid,balanced,13.0,1.8510617430200051,0.2844
BN,iid,balanced,14.0,1.8399853530312391,0.29283333333333333
BN,iid,balanced,15.0,1.7954493685613706,0.2946
BN,iid,balanced,16.0,1.8222786439622005,0.2913
BN,iid,balanced,17.0,1.7786994488430425,0.30473333333333336
BN,iid,balanced,18.0,1.7392615713650665,0.33359999999999995
BN,iid,balanced,19.0,1.6979682586364102,0.3509333333333333
BN,iid,balanced,20.0,1.6719634447419693,0.37213333333333337
BN,iid,balanced,21.0,1.6865619571903085,0.3644
BN,iid,balanced,22.0,1.646630548726657,0.37810000000000005
BN,iid,balanced,23.0,1.6336657442624054,0.3915
BN,iid,balanced,24.0,1.6450521915773801,0.37420000000000003
BN,iid,balanced,25.0,1.6030806966974767,0.4033666666666667
BN,iid,balanced,26.0,1.5665832078909572,0.4086666666666667
BN,iid,balanced,27.0,1.5611906680376721,0.42086666666666667
BN,iid,balanced,28.0,1.5500482396234438,0.4252666666666667
BN,iid,balanced,29.0,1.5260084736699293,0.4350333333333333
BN,iid,balanced,30.0,1.5038567449473128,0.44103333333333333
BN,iid,balanced,31.0,1.4881146059760564,0.4504666666666666
BN,iid,balanced,32.0,1.493185740985951,0.4428
BN,iid,balanced,33.0,1.455186403753385,0.4641333333333333
BN,iid,balanced,34.0,1.4407247506113496,0.4742333333333333
BN,iid,balanced,35.0,1.480387820976193,0.46176666666666666
BN,iid,balanced,36.0,1.3911568102454333,0.48836666666666667
BN,iid,balanced,37.0,1.401571181253039,0.49643333333333334
BN,iid,balanced,38.0,1.3696326862407637,0.5003333333333333
BN,iid,balanced,39.0,1.3484553013169815,0.5069
BN,iid,balanced,40.0,1.3596677020632264,0.5029666666666667
BN,iid,balanced,41.0,1.3426804628050277,0.5122333333333332
BN,iid,balanced,42.0,1.369369074262144,0.5103666666666666
BN,iid,balanced,43.0,1.4426113860013619,0.5209666666666667
BN,iid,balanced,44.0,1.2952041927772233,0.5254666666666666
BN,iid,balanced,45.0,1.2818661269256335,0.529
BN,iid,balanced,46.0,1.2488852618615838,0.5436333333333333
BN,iid,balanced,47.0,1.2408097489473688,0.5445
BN,iid,balanced,48.0,1.2541965623445148,0.5411
BN,iid,balanced,49.0,1.218291914412744,0.5523
BN,iid,balanced,50.0,1.2177806919134115,0.5521666666666667
BN,noniid,balanced,1.0,2.603168643476591,0.10000000000000002
BN,noniid,balanced,2.0,2.9241388196180638,0.10000000000000002
BN,noniid,balanced,3.0,2.723455446178903,0.10183333333333333
BN,noniid,balanced,4.0,2.6911033930154793,0.11186666666666667
BN,noniid,balanced,5.0,2.8626389503479004,0.10046666666666666
BN,noniid,balanced,6.0,2.920480051121128,0.1082
BN,noniid,balanced,7.0,2.957856743647579,0.11006666666666669
BN,noniid,balanced,8.0,2.9406283887629776,0.12020000000000002
BN,noniid,balanced,9.0,2.943398093372457,0.13793333333333332
BN,noniid,balanced,10.0,2.8532686988009686,0.13936666666666667
BN,noniid,balanced,11.0,2.8189383589265717,0.14666666666666667
BN,noniid,balanced,12.0,3.1719800158392033,0.1452
BN,noniid,balanced,13.0,2.8969104833240755,0.14953333333333332
BN,noniid,balanced,14.0,2.8150103112313314,0.1567333333333333
BN,noniid,balanced,15.0,2.7900602445320737,0.14506666666666668
BN,noniid,balanced,16.0,2.8910311254267955,0.16196666666666668
BN,noniid,balanced,17.0,2.82429222567675,0.1572
BN,noniid,balanced,18.0,2.78230206071073,0.16240000000000002
BN,noniid,balanced,19.0,2.82400797640724,0.1610666666666667
BN,noniid,balanced,20.0,3.539162040259768,0.15510000000000002
BN,noniid,balanced,21.0,2.9389384084613006,0.17373333333333332
BN,noniid,balanced,22.0,2.9769182416457167,0.18153333333333332
BN,noniid,balanced,23.0,2.8045414741532206,0.1704
BN,noniid,balanced,24.0,2.8324560877643052,0.17096666666666668
BN,noniid,balanced,25.0,3.0705649264251123,0.17206666666666667
BN,noniid,balanced,26.0,3.598410165762599,0.17036666666666667
BN,noniid,balanced,27.0,4.832769678111821,0.17173333333333332
BN,noniid,balanced,28.0,4.223798944980284,0.1790333333333333
BN,noniid,balanced,29.0,3.1003580842843035,0.18356666666666666
BN,noniid,balanced,30.0,2.9284289657818117,0.17056666666666667
BN,noniid,balanced,31.0,3.167418389380733,0.1858
BN,noniid,balanced,32.0,2.899968614558128,0.18603333333333336
BN,noniid,balanced,33.0,3.0447295119490807,0.1811
BN,noniid,balanced,34.0,3.276195979319544,0.18346666666666667
BN,noniid,balanced,35.0,3.560540951756988,0.17886666666666665
BN,noniid,balanced,36.0,2.9786879835249507,0.19396666666666665
BN,noniid,balanced,37.0,3.053260303750823,0.18286666666666665
BN,noniid,balanced,38.0,3.813204521871317,0.19543333333333332
BN,noniid,balanced,39.0,3.2959479163970626,0.1894
BN,noniid,balanced,40.0,2.922492006157018,0.18946666666666667
BN,noniid,balanced,41.0,3.0638521356421684,0.1936
BN,noniid,balanced,42.0,3.0610113636853824,0.19053333333333333
BN,noniid,balanced,43.0,2.9466580912030698,0.19143333333333334
BN,noniid,balanced,44.0,2.778956262874201,0.20153333333333334
BN,noniid,balanced,45.0,2.9035863856223063,0.18769999999999998
BN,noniid,balanced,46.0,2.8793573319157466,0.2003666666666667
BN,noniid,balanced,47.0,2.7416798736475694,0.1976
BN,noniid,balanced,48.0,2.762189027629321,0.2069
BN,noniid,balanced,49.0,2.7591795871026403,0.20020000000000002
BN,noniid,balanced,50.0,2.8000669665477447,0.19576666666666667
BN,noniid,unbalanced,1.0,2.914498212468272,0.10000000000000002
BN,noniid,unbalanced,2.0,2.962370255828407,0.10000000000000002
BN,noniid,unbalanced,3.0,2.6241985363296316,0.11916666666666666
BN,noniid,unbalanced,4.0,2.7539709459377235,0.12480000000000001
BN,noniid,unbalanced,5.0,2.7670540789511637,0.14983333333333335
BN,noniid,unbalanced,6.0,2.7749461524094206,0.16873333333333332
BN,noniid,unbalanced,7.0,2.852221645886385,0.18230000000000002
BN,noniid,unbalanced,8.0,2.828573570975774,0.1801
BN,noniid,unbalanced,9.0,2.743248788616325,0.19706666666666664
BN,noniid,unbalanced,10.0,2.784559511434177,0.19776666666666665
BN,noniid,unbalanced,11.0,3.229932872554924,0.22253333333333333
BN,noniid,unbalanced,12.0,3.0844897710824313,0.21283333333333335
BN,noniid,unbalanced,13.0,3.077956433034648,0.2274666666666667
BN,noniid,unbalanced,14.0,3.79665739425627,0.23826666666666665
BN,noniid,unbalanced,15.0,2.7943515365133806,0.2466
BN,noniid,unbalanced,16.0,3.3486134462718726,0.2525
BN,noniid,unbalanced,17.0,2.71147606040858,0.248
BN,noniid,unbalanced,18.0,2.8355193605905846,0.24993333333333334
BN,noniid,unbalanced,19.0,2.6267189536919573,0.24609999999999999
BN,noniid,unbalanced,20.0,2.7150506741889924,0.2608333333333333
BN,noniid,unbalanced,21.0,2.932487590403497,0.26203333333333334
BN,noniid,unbalanced,22.0,2.7191620713044826,0.2722
BN,noniid,unbalanced,23.0,3.5772877101656757,0.2541333333333333
BN,noniid,unbalanced,24.0,2.885570633763503,0.2750666666666666
BN,noniid,unbalanced,25.0,3.1350748126516863,0.2765
BN,noniid,unbalanced,26.0,2.8247212870714535,0.2759
BN,noniid,unbalanced,27.0,2.714210626948232,0.28633333333333333
BN,noniid,unbalanced,28.0,3.017411382892464,0.2739333333333333
BN,noniid,unbalanced,29.0,2.80832889261125,0.2774666666666667
BN,noniid,unbalanced,30.0,3.5787881803914963,0.28453333333333336
BN,noniid,unbalanced,31.0,2.6897311733744815,0.28213333333333335
BN,noniid,unbalanced,32.0,2.669305262686331,0.29000000000000004
BN,noniid,unbalanced,33.0,2.6902705576852406,0.28836666666666666
BN,noniid,unbalanced,34.0,2.9807852893942015,0.2986
BN,noniid,unbalanced,35.0,2.6821331409462394,0.30256666666666665
BN,noniid,unbalanced,36.0,2.6622761020177528,0.2971
BN,noniid,unbalanced,37.0,2.617789581858156,0.2949
BN,noniid,unbalanced,38.0,2.608469778475379,0.2964333333333334
BN,noniid,unbalanced,39.0,2.549333992386669,0.30056666666666665
BN,noniid,unbalanced,40.0,2.5575068233385365,0.2996666666666667
BN,noniid,unbalanced,41.0,2.5078815800228202,0.31153333333333333
BN,noniid,unbalanced,42.0,2.5850224721280837,0.30743333333333334
BN,noniid,unbalanced,43.0,3.189962769862469,0.3078666666666667
BN,noniid,unbalanced,44.0,2.5617554580109023,0.3080333333333333
BN,noniid,unbalanced,45.0,2.5964191035379343,0.3091
BN,noniid,unbalanced,46.0,2.5303405845215554,0.3224666666666667
BN,noniid,unbalanced,47.0,2.580910007661908,0.3179
BN,noniid,unbalanced,48.0,2.6205559018292006,0.3212
BN,noniid,unbalanced,49.0,2.53243452738106,0.32493333333333335
BN,noniid,unbalanced,50.0,2.531364432870084,0.32866666666666666
GN,iid,balanced,1.0,2.4682456893759936,0.10000000000000002
GN,iid,balanced,2.0,2.2958226244157878,0.1246
GN,iid,balanced,3.0,2.288267052123315,0.13116666666666668
GN,iid,balanced,4.0,2.2810125632628107,0.14176666666666665
GN,iid,balanced,5.0,2.2608259005888605,0.15313333333333334
GN,iid,balanced,6.0,2.2460495067548147,0.15769999999999998
GN,iid,balanced,7.0,2.2195293742393143,0.17043333333333333
GN,iid,balanced,8.0,2.172000189873739,0.19883333333333333
GN,iid,balanced,9.0,2.131853927036881,0.19663333333333335
GN,iid,balanced,10.0,2.102080854685498,0.2216
GN,iid,balanced,11.0,2.054341940437188,0.221
GN,iid,balanced,12.0,2.0384419708815305,0.2308
GN,iid,balanced,13.0,2.0229077429711064,0.2352
GN,iid,balanced,14.0,2.0137911572235043,0.23273333333333335
GN,iid,balanced,15.0,1.991787790749143,0.2536333333333333
GN,iid,balanced,16.0,1.998762919429988,0.2489
GN,iid,balanced,17.0,1.9781954575188554,0.2543333333333333
GN,iid,balanced,18.0,1.9740945860303407,0.2575
GN,iid,balanced,19.0,1.9647278418520837,0.26953333333333335
GN,iid,balanced,20.0,1.9659436669530745,0.26213333333333333
GN,iid,balanced,21.0,1.9450689745351735,0.26616666666666666
GN,iid,balanced,22.0,1.9463028193526126,0.2647
GN,iid,balanced,23.0,1.948146272812212,0.268
GN,iid,balanced,24.0,1.941362671208281,0.2752666666666667
GN,iid,balanced,25.0,1.9377505467410832,0.2700666666666667
GN,iid,balanced,26.0,1.9328133556913223,0.2710333333333333
GN,iid,balanced,27.0,1.9254210427843568,0.27543333333333336
GN,iid,balanced,28.0,1.9201193826611032,0.2832666666666667
GN,iid,balanced,29.0,1.9166791056781882,0.28723333333333334
GN,iid,balanced,30.0,1.9149718581372677,0.2866333333333333
GN,iid,balanced,31.0,1.901445551763607,0.2924333333333334
GN,iid,balanced,32.0,1.9060661732395994,0.27859999999999996
GN,iid,balanced,33.0,1.9147601625587365,0.28163333333333335
GN,iid,balanced,34.0,1.9160282636996566,0.2823
GN,iid,balanced,35.0,1.8963305608129701,0.28653333333333336
GN,iid,balanced,36.0,1.8801935443395301,0.29929999999999995
GN,iid,balanced,37.0,1.8834840753410436,0.3007666666666667
GN,iid,balanced,38.0,1.8931510020911944,0.29403333333333337
GN,iid,balanced,39.0,1.877049879685736,0.306
GN,iid,balanced,40.0,1.8780352918407583,0.29973333333333335
GN,iid,balanced,41.0,1.859428386145,0.3042666666666667
GN,iid,balanced,42.0,1.8562669980375068,0.3116333333333333
GN,iid,balanced,43.0,1.8626458338041345,0.3131333333333333
GN,iid,balanced,44.0,1.8482148848505462,0.3180666666666667
GN,iid,balanced,45.0,1.8474176136250235,0.3124333333333333
GN,iid,balanced,46.0,1.8319504160418287,0.32126666666666664
GN,iid,balanced,47.0,1.8385774822677743,0.32350000000000007
GN,iid,balanced,48.0,1.839548630553459,0.32
GN,iid,balanced,49.0,1.8267479727539835,0.32539999999999997
GN,iid,balanced,50.0,1.8299297461529827,0.32
GN,noniid,balanced,1.0,6.033232364976456,0.09853333333333335
GN,noniid,balanced,2.0,4.029149411599847,0.10000000000000002
GN,noniid,balanced,3.0,2.9969213552112826,0.09643333333333333
GN,noniid,balanced,4.0,2.9063688491467183,0.10516666666666667
GN,noniid,balanced,5.0,2.8668626370812267,0.10473333333333334
GN,noniid,balanced,6.0,2.8638376223890085,0.10033333333333334
GN,noniid,balanced,7.0,2.9082916477058505,0.10333333333333333
GN,noniid,balanced,8.0,2.9172170091781937,0.10726666666666666
GN,noniid,balanced,9.0,2.9591787062616786,0.11696666666666666
GN,noniid,balanced,10.0,2.9205506008888595,0.12203333333333334
GN,noniid,balanced,11.0,2.9075545198303736,0.13156666666666667
GN,noniid,balanced,12.0,2.905799762106143,0.13173333333333334
GN,noniid,balanced,13.0,2.901065444141501,0.13333333333333333
GN,noniid,balanced,14.0,2.8983350886574275,0.13543333333333332
GN,noniid,balanced,15.0,2.8544092872474764,0.13690000000000002
GN,noniid,balanced,16.0,2.8905326173275334,0.13833333333333334
GN,noniid,balanced,17.0,2.849586036134873,0.14196666666666666
GN,noniid,balanced,18.0,2.844355013803088,0.14993333333333334
GN,noniid,balanced,19.0,2.8563343895135547,0.14780000000000001
GN,noniid,balanced,20.0,2.8489646790902827,0.14476666666666668
GN,noniid,balanced,21.0,2.856284052007812,0.14593333333333333
GN,noniid,balanced,22.0,2.799919250142222,0.15616666666666668
GN,noniid,balanced,23.0,2.840157156252157,0.1586
GN,noniid,balanced,24.0,2.822168359273597,0.16063333333333332
GN,noniid,balanced,25.0,2.80772186482506,0.15923333333333334
GN,noniid,balanced,26.0,2.796483642441311,0.16949999999999998
GN,noniid,balanced,27.0,2.8106532448957737,0.16496666666666668
GN,noniid,balanced,28.0,2.790422721251154,0.16796666666666668
GN,noniid,balanced,29.0,2.7812488763141228,0.17926666666666669
GN,noniid,balanced,30.0,2.808888979098968,0.17163333333333333
GN,noniid,balanced,31.0,2.7835726808395065,0.1782
GN,noniid,balanced,32.0,2.7987024970195464,0.1758666666666667
GN,noniid,balanced,33.0,2.7650403921111226,0.18263333333333334
GN,noniid,balanced,34.0,2.7513461575729434,0.18593333333333337
GN,noniid,balanced,35.0,2.800433642753569,0.1827
GN,noniid,balanced,36.0,2.7843577705858125,0.1844
GN,noniid,balanced,37.0,2.7358401224080016,0.1879666666666667
GN,noniid,balanced,38.0,2.747110002654514,0.18683333333333332
GN,noniid,balanced,39.0,2.7573289101636864,0.18556666666666666
GN,noniid,balanced,40.0,2.7575728249449267,0.18803333333333336
GN,noniid,balanced,41.0,2.752605525753166,0.19073333333333334
GN,noniid,balanced,42.0,2.7540515897646234,0.19513333333333335
GN,noniid,balanced,43.0,2.765701408124674,0.19523333333333334
GN,noniid,balanced,44.0,2.7524534760648187,0.19313333333333335
GN,noniid,balanced,45.0,2.809668441865012,0.1922
GN,noniid,balanced,46.0,2.735960548437094,0.20073333333333335
GN,noniid,balanced,47.0,2.7785707324869016,0.18946666666666667
GN,noniid,balanced,48.0,2.760564742209036,0.19919999999999996
GN,noniid,balanced,49.0,2.729590681031786,0.20406666666666665
GN,noniid,balanced,50.0,2.724624537717441,0.20556666666666668
GN,noniid,unbalanced,1.0,7.547342687719482,0.10000000000000002
GN,noniid,unbalanced,2.0,3.662516783058392,0.10000000000000002
GN,noniid,unbalanced,3.0,2.7552383690443722,0.11136666666666666
GN,noniid,unbalanced,4.0,2.6799022909961168,0.12673333333333334
GN,noniid,unbalanced,5.0,2.6917229473339357,0.12986666666666666
GN,noniid,unbalanced,6.0,2.695913391274239,0.13063333333333335
GN,noniid,unbalanced,7.0,2.693919022878011,0.133
GN,noniid,unbalanced,8.0,2.7106810581835012,0.14883333333333335
GN,noniid,unbalanced,9.0,2.670022368934084,0.15376666666666666
GN,noniid,unbalanced,10.0,2.6642932358673357,0.16326666666666667
GN,noniid,unbalanced,11.0,2.639078687514937,0.18243333333333334
GN,noniid,unbalanced,12.0,2.643138591750262,0.18433333333333332
GN,noniid,unbalanced,13.0,2.6254085528699656,0.1915
GN,noniid,unbalanced,14.0,2.623915301093572,0.19870000000000002
GN,noniid,unbalanced,15.0,2.628627184574111,0.20656666666666668
GN,noniid,unbalanced,16.0,2.621097682397577,0.21323333333333336
GN,noniid,unbalanced,17.0,2.6079668626503607,0.20673333333333332
GN,noniid,unbalanced,18.0,2.5875750956153065,0.21343333333333334
GN,noniid,unbalanced,19.0,2.6024262522846335,0.21263333333333334
GN,noniid,unbalanced,20.0,2.585342682866608,0.20896666666666666
GN,noniid,unbalanced,21.0,2.5773173213508063,0.21553333333333335
GN,noniid,unbalanced,22.0,2.5820667190390796,0.21663333333333334
GN,noniid,unbalanced,23.0,2.5676474732185715,0.21653333333333333
GN,noniid,unbalanced,24.0,2.581060143965709,0.22163333333333335
GN,noniid,unbalanced,25.0,2.5854310063873163,0.22676666666666667
GN,noniid,unbalanced,26.0,2.5454529740136387,0.22493333333333335
GN,noniid,unbalanced,27.0,2.552191502937285,0.2298
GN,noniid,unbalanced,28.0,2.5439696281771114,0.23329999999999998
GN,noniid,unbalanced,29.0,2.5623055812175766,0.2308666666666667
GN,noniid,unbalanced,30.0,2.529762522580754,0.23646666666666669
GN,noniid,unbalanced,31.0,2.5381571964875556,0.23299999999999998
GN,noniid,unbalanced,32.0,2.535626970765963,0.2332
GN,noniid,unbalanced,33.0,2.560367028924483,0.23293333333333333
GN,noniid,unbalanced,34.0,2.524417721269503,0.23996666666666666
GN,noniid,unbalanced,35.0,2.497399253684257,0.24273333333333336
GN,noniid,unbalanced,36.0,2.525130585779118,0.2447
GN,noniid,unbalanced,37.0,2.5506026684483394,0.23549999999999996
GN,noniid,unbalanced,38.0,2.52385127896498,0.24100000000000002
GN,noniid,unbalanced,39.0,2.5278244571846753,0.24513333333333334
GN,noniid,unbalanced,40.0,2.502967905897631,0.24906666666666666
GN,noniid,unbalanced,41.0,2.5102596373497685,0.2466
GN,noniid,unbalanced,42.0,2.5309700880372574,0.24356666666666668
GN,noniid,unbalanced,43.0,2.5396478472882684,0.24980000000000002
GN,noniid,unbalanced,44.0,2.502541703010913,0.24823333333333333
GN,noniid,unbalanced,45.0,2.5347118407865117,0.24193333333333333
GN,noniid,unbalanced,46.0,2.447887164127978,0.2557666666666667
GN,noniid,unbalanced,47.0,2.539235367553647,0.24453333333333335
GN,noniid,unbalanced,48.0,2.5219692877073325,0.24626666666666666
GN,noniid,unbalanced,49.0,2.4636257494552223,0.25776666666666664
GN,noniid,unbalanced,50.0,2.5077440215565487,0.25586666666666663
