round,norm,independence,balancement,test_loss,test_acc,train_acc,train_loss
1,BN,iid,balanced,2.070771342422765,0.26145623025288295,0.25184693697889643,1.3786068932215372
1,BN,noniid,balanced,2.569194439123828,0.12154655198284074,0.3629429308687648,1.4402855169524749
1,BN,noniid,unbalanced,2.9683765188876827,0.10293170493642727,0.30807090862555747,1.6548495954133216
1,GN,iid,balanced,2.2395513466138883,0.1748681434599156,0.14079247455199553,1.750052672425906
1,GN,noniid,balanced,2.718893672343548,0.10545886075949362,0.39858903366724646,2.144052596042554
1,GN,noniid,unbalanced,2.5813023440445524,0.10174709915611813,0.3184402934140518,2.298730368420523
2,BN,iid,balanced,1.9608097012861612,0.31910061316427535,0.45706155535380044,0.9969424016773701
2,BN,noniid,balanced,2.619026418358338,0.12003020177187029,0.2644677156552672,1.1960217081507047
2,BN,noniid,unbalanced,2.589956983516362,0.13124460050604753,0.2604350847926925,1.173636335215748
2,GN,iid,balanced,2.106601547943389,0.22290018459915606,0.2070058811267216,1.115813366472721
2,GN,noniid,balanced,2.6455216611990946,0.10348430907172997,0.2768801614940167,1.1770106535156566
2,GN,noniid,unbalanced,2.6873103809759087,0.113132911392405,0.2179713651047668,1.1937628365060722
3,BN,iid,balanced,1.8799735749646824,0.3542271954427563,0.600599854461352,0.8950906574726106
3,BN,noniid,balanced,2.4021045392901326,0.14357977983094203,0.2094549200887481,1.258789735312263
3,BN,noniid,unbalanced,2.449713992048793,0.1636186775102669,0.18172289389184257,1.2881001818264444
3,GN,iid,balanced,1.9644135093387167,0.29377307489451476,0.27626885685125985,1.057020773390929
3,GN,noniid,balanced,2.509186195321224,0.10433148734177213,0.1745862505614757,1.26866477056096
3,GN,noniid,unbalanced,2.4911195237928303,0.09972310126582278,0.1609002300302099,1.3076288513932608
4,BN,iid,balanced,1.8062507204691307,0.3834663832064695,0.660829290676117,0.8198469024896622
4,BN,noniid,balanced,2.385842376904522,0.13930103510520364,0.22581514861136673,1.2465149849404893
4,BN,noniid,unbalanced,2.4426947170997715,0.15671928405035132,0.24890811060755338,1.2438219262192949
4,GN,iid,balanced,1.889202626395326,0.3281480748945147,0.3139596796512603,1.0227993273735045
4,GN,noniid,balanced,2.4854441390258852,0.11515031645569618,0.21026827346930896,1.264655489474535
4,GN,noniid,unbalanced,2.590426581821361,0.11583267405063291,0.19960759957726748,1.2537099333624244
5,BN,iid,balanced,1.7982902062415818,0.39111735894486604,0.6852779255072274,0.7943432778120041
5,BN,noniid,balanced,2.455809209952751,0.13113911527398,0.23457300524363914,1.210103522563974
5,BN,noniid,unbalanced,2.579719716871212,0.13360153616005596,0.1890000529081268,1.217840556349125
5,GN,iid,balanced,1.8596768816815146,0.3461761603375528,0.359771236483256,0.9903041080137093
5,GN,noniid,balanced,2.6135156528859196,0.12794040084388186,0.22341886617292953,1.2314283720403907
5,GN,noniid,unbalanced,2.703971494099259,0.12856671940928263,0.2021826406190108,1.2023482683781133
6,BN,iid,balanced,1.7255531868173846,0.4117562038815749,0.7014632704416911,0.7660778121650219
6,BN,noniid,balanced,2.3609030792807464,0.14352374080140617,0.172284481871128,1.3215691845119
6,BN,noniid,unbalanced,2.3036986980582834,0.1753011669617437,0.2046550653252164,1.2887078428810292
6,GN,iid,balanced,1.784115014347849,0.38843947784810123,0.4034256002585092,0.9530457830429077
6,GN,noniid,balanced,2.3583010745953907,0.11517668776371308,0.15257857273817052,1.3019929938018322
6,GN,noniid,unbalanced,2.385964404480367,0.14317642405063288,0.1921045102777892,1.2956708820050242
7,BN,iid,balanced,1.686264450170193,0.4343168578900138,0.7216123363335928,0.7492810677488645
7,BN,noniid,balanced,2.479558099505644,0.16286379881828383,0.2414987415273984,1.2210584868987402
7,BN,noniid,unbalanced,2.356293468568269,0.18543104565372684,0.2767697575348003,1.1484620326386634
7,GN,iid,balanced,1.7506099834220823,0.3963244989451476,0.4433865374406178,0.9272826741139094
7,GN,noniid,balanced,2.4412843756534888,0.133293776371308,0.20518633151650423,1.2258760735392569
7,GN,noniid,unbalanced,2.557530615198964,0.12673391350210964,0.27364208587782873,1.175307685725244
8,BN,iid,balanced,1.6862251707092861,0.428703065695921,0.729240973520279,0.7379377329349518
8,BN,noniid,balanced,2.31420026754264,0.17565058679296738,0.18812679478973146,1.2536851957440376
8,BN,noniid,unbalanced,2.4758585825070796,0.16457463742587877,0.31553039309015585,1.0920730585025415
8,GN,iid,balanced,1.7183206960621764,0.416676555907173,0.47001840720176685,0.907268089801073
8,GN,noniid,balanced,2.357897563020891,0.14488396624472566,0.12025682405382386,1.2828679021199545
8,GN,noniid,unbalanced,2.6581415530498522,0.12672072784810123,0.2501552953962926,1.1647358424231118
9,BN,iid,balanced,1.6207370318263636,0.45568091379718684,0.7391635222434997,0.7253589342037836
9,BN,noniid,balanced,2.5105317293665825,0.15886524924022474,0.2899162613416711,1.1849987695117792
9,BN,noniid,unbalanced,2.4117163987425045,0.14401820282672262,0.27137830529286694,1.1948359375847786
9,GN,iid,balanced,1.685098131346803,0.424973628691983,0.5023403807481129,0.8845761193831763
9,GN,noniid,balanced,2.424689945389953,0.14155458860759493,0.24329359598855171,1.196278240084648
9,GN,noniid,unbalanced,2.514741465411609,0.11206487341772148,0.2850008697928202,1.169906486220884
10,BN,iid,balanced,1.6117329001249383,0.4605068631642754,0.7520361868222555,0.712486768613259
10,BN,noniid,balanced,2.381929041748182,0.15466891485203907,0.30928340369462964,1.161012233172854
10,BN,noniid,unbalanced,2.425459610392146,0.14363911527398,0.3294315615181417,1.1355664752377161
10,GN,iid,balanced,1.7033822107918655,0.4103606276371308,0.5345543714841207,0.8646284378568332
10,GN,noniid,balanced,2.5313578644382297,0.12857001582278477,0.26370846674243603,1.1622193101793528
10,GN,noniid,unbalanced,2.3958403790550395,0.14521690400843876,0.27667469510135184,1.219083604320918
11,BN,iid,balanced,1.5853465922596828,0.4734090256115328,0.7588305924733479,0.7059461376567682
11,BN,noniid,balanced,2.3488283928259257,0.15876635683516147,0.28633553191423416,1.148639063288768
11,BN,noniid,unbalanced,2.25745866397501,0.19544554987313612,0.31779952408704487,1.1237486733658748
11,GN,iid,balanced,1.6591389717432012,0.4265756856540084,0.5486644652048746,0.8554467236002287
11,GN,noniid,balanced,2.3782510566309036,0.13952399789029532,0.23634002251923072,1.188523886104425
11,GN,noniid,unbalanced,2.3609505689596824,0.15889372362869192,0.22867826407970196,1.2129051894081961
12,BN,iid,balanced,1.5645673920156324,0.4820785931220813,0.7736734449386597,0.6927035452922187
12,BN,noniid,balanced,2.2960426844950708,0.17887777561153276,0.3106800000175834,1.1606249160816273
12,BN,noniid,unbalanced,2.33380986073085,0.2128209454427564,0.32436708407562315,1.0299972877691106
12,GN,iid,balanced,1.6410288618083744,0.437559335443038,0.5829871567408244,0.8347417047123115
12,GN,noniid,balanced,2.330170823250139,0.14766613924050628,0.24424075002521273,1.1715477487444879
12,GN,noniid,unbalanced,2.4138299002426087,0.15595991561181433,0.2567201516601106,1.131083672961601
13,BN,iid,balanced,1.5051638626170805,0.4962729496621656,0.722915091641744,0.7219537750879924
13,BN,noniid,balanced,2.365183340429127,0.14817498025288298,0.30065710207919283,1.1628765124579268
13,BN,noniid,unbalanced,2.3306141502569235,0.1651712882697606,0.3269576902302456,1.1342542170199985
13,GN,iid,balanced,1.5742872582206244,0.47662513185654004,0.5734053948084514,0.817101186166207
13,GN,noniid,balanced,2.3464946920358685,0.1497692510548523,0.2798965055584907,1.1521905479331813
13,GN,noniid,unbalanced,2.349975821187225,0.17221453059071726,0.2774165698474455,1.2631287510985254
14,BN,iid,balanced,1.4900756918251001,0.5020383768773556,0.7520514513969422,0.6943471892674764
14,BN,noniid,balanced,2.3417879874015903,0.19560707413473954,0.2699158122604091,1.1621632341047128
14,BN,noniid,unbalanced,2.2065132673605325,0.22181356147651168,0.27816840234639234,1.1944906060719211
14,GN,iid,balanced,1.5589874363146752,0.47972705696202533,0.6012904075304667,0.7950195673604806
14,GN,noniid,balanced,2.3495532826029297,0.16734902426160334,0.22652680404037226,1.170156535158555
14,GN,noniid,unbalanced,2.2339479444902155,0.16782700421940924,0.21908904319955425,1.2762088536722664
15,BN,iid,balanced,1.4839345238705466,0.5037294370039379,0.7628594169298809,0.6890931868553162
15,BN,noniid,balanced,2.340952626343391,0.18084903088579438,0.3070283303335309,1.1756658038993677
15,BN,noniid,unbalanced,2.2194744508300395,0.21733703194064669,0.3756843683657574,1.0268135443068387
15,GN,iid,balanced,1.5385836308012533,0.4884427742616033,0.6056297124862671,0.7889641793072224
15,GN,noniid,balanced,2.298150825450189,0.1573806698312236,0.2616336646745602,1.1685058894256752
15,GN,noniid,unbalanced,2.223096969711127,0.1835607858649789,0.306497152693598,1.1437326228045765
16,BN,iid,balanced,1.4908095985347956,0.4975387724469759,0.7741334382375081,0.6818867896000546
16,BN,noniid,balanced,2.2663221214213696,0.21300884101237663,0.3783463529407978,1.1011441981792451
16,BN,noniid,unbalanced,2.2334345916981175,0.23394436316427536,0.33788642943938446,1.04329553081405
16,GN,iid,balanced,1.526018228359866,0.4907898206751054,0.6231885302861532,0.7785506587227186
16,GN,noniid,balanced,2.2614097805968822,0.19381263185654,0.28730984970132506,1.1564290753006936
16,GN,noniid,unbalanced,2.2682937382142754,0.1875791139240506,0.28177151087622,1.1006765266774439
17,BN,iid,balanced,1.480417080098943,0.4988540414343175,0.7775832857131958,0.6734493890653054
17,BN,noniid,balanced,2.284191793462268,0.19132503299549897,0.35243332251509035,1.0635151456296443
17,BN,noniid,unbalanced,2.1345806147804485,0.218517147974402,0.37342837466367906,1.0477583946061857
17,GN,iid,balanced,1.5289398328664434,0.48559796940928274,0.6330091575304667,0.7685305362939835
17,GN,noniid,balanced,2.2550590443711744,0.19255340189873416,0.27371744705984985,1.1260485889017582
17,GN,noniid,unbalanced,2.2082414489255173,0.1883867352320675,0.2643772299987606,1.139644496328215
18,BN,iid,balanced,1.4771105947699468,0.49969792329085766,0.7861525657653808,0.6673030782490968
18,BN,noniid,balanced,2.365264353804824,0.20441509101237662,0.40634540960341686,1.037285570303599
18,BN,noniid,unbalanced,2.1879428457935894,0.21845451611786182,0.4145325754519606,0.9968690669439408
18,GN,iid,balanced,1.5109300804037586,0.4891185390295359,0.6441680111885072,0.7619968143602213
18,GN,noniid,balanced,2.353235898893091,0.15922666139240502,0.3318354869981606,1.0595990653087695
18,GN,noniid,unbalanced,2.3465635876112345,0.16606671940928264,0.3325696466589319,1.066099635479243
19,BN,iid,balanced,1.4778933063160757,0.4965959981853724,0.7889473310152689,0.6635374325017134
19,BN,noniid,balanced,2.225060156611324,0.21712935789001375,0.34043933970530826,1.0774248960117498
19,BN,noniid,unbalanced,2.145245174247378,0.23355538637102644,0.4203579158352266,1.008220523810834
19,GN,iid,balanced,1.5050213975745415,0.4899887921940928,0.6442993424097697,0.7598416656255722
19,GN,noniid,balanced,2.213921084232974,0.18800105485232063,0.25123652914414796,1.1387314893802005
19,GN,noniid,unbalanced,2.260350801723416,0.1933115770042194,0.2770811345691632,1.101359821284058
20,BN,iid,balanced,1.4751407879137028,0.5005220266663851,0.7967241358121235,0.6506038013597331
20,BN,noniid,balanced,2.263057663251956,0.19718605620225002,0.41661435660819207,1.0437656214088202
20,BN,noniid,unbalanced,2.1281276083519427,0.226662585738115,0.4063223382907884,1.053954108965163
20,GN,iid,balanced,1.5075795127872678,0.4908128955696202,0.6594163052558898,0.7475295418997606
20,GN,noniid,balanced,2.3510289618737583,0.1703553533755274,0.3382444312473138,1.0849611656864484
20,GN,noniid,unbalanced,2.1931721728562303,0.20187895569620248,0.27644211989784023,1.1087507732813136
21,BN,iid,balanced,1.465439302591708,0.4999847112655413,0.7989450861612957,0.6508016389608384
21,BN,noniid,balanced,2.169161072192187,0.23329496970435973,0.3957008781929811,1.0169873622556527
21,BN,noniid,unbalanced,2.2362739398835316,0.19330617751026694,0.3773351761548854,1.0057165464274507
21,GN,iid,balanced,1.495242773078162,0.4939774525316456,0.6689055743535359,0.7376703077554702
21,GN,noniid,balanced,2.2110487514910315,0.18955036919831217,0.31084118951956424,1.0913718565801778
21,GN,noniid,unbalanced,2.233144473778045,0.21639636075949373,0.29976808993125853,1.0476641754604137
22,BN,iid,balanced,1.45703391363085,0.5002022745566804,0.8052235967953999,0.6454869490861893
22,BN,noniid,balanced,2.199149115007511,0.22352769649760876,0.38272988352626564,1.0203242367257672
22,BN,noniid,unbalanced,2.175271408349023,0.20924104037946525,0.41309517649557725,0.9934857792752841
22,GN,iid,balanced,1.4816649202556047,0.492728111814346,0.6847521526336671,0.7276206794381141
22,GN,noniid,balanced,2.1699581411317435,0.19988792194092828,0.263425825202465,1.0807240856687228
22,GN,noniid,unbalanced,2.1842788136961087,0.1913502109704641,0.2948170210873074,1.1031206177220712
23,BN,iid,balanced,1.4623912348851613,0.5009835245566805,0.8083191875457763,0.6506677971035242
23,BN,noniid,balanced,2.224447408590009,0.22604285999971843,0.36595860114643974,1.0655875323216122
23,BN,noniid,unbalanced,2.213850767634965,0.22614834523178592,0.462497687250756,0.9510310293238161
23,GN,iid,balanced,1.474841833114624,0.4980287447257384,0.6929617884635926,0.7231221335629622
23,GN,noniid,balanced,2.098959137216399,0.2144514767932489,0.25601180792301886,1.1272584880888463
23,GN,noniid,unbalanced,2.2119637034613375,0.2029305116033755,0.3368476265656253,1.05318316191015
24,BN,iid,balanced,1.4437979716363074,0.5080839992402247,0.6374663225809732,0.7836394035319487
24,BN,noniid,balanced,2.1344830295027304,0.22700211632883235,0.35973194915900625,1.0823014750083289
24,BN,noniid,unbalanced,2.1109274922366628,0.23123141485203913,0.3592525284985377,1.0611369984132006
24,GN,iid,balanced,1.4639133410614755,0.5054687499999999,0.5657547571500142,0.8096122089525064
24,GN,noniid,balanced,2.0886081381689148,0.205801687763713,0.26648302686860154,1.1367823242147763
24,GN,noniid,unbalanced,2.0971821139633406,0.2199894514767932,0.2903374023000909,1.1483090903123867
25,BN,iid,balanced,1.4415222515610946,0.5069302545144864,0.6432273681640625,0.7741212532420954
25,BN,noniid,balanced,2.3570011141253664,0.21637118278452852,0.3267672404557466,1.1395868405203027
25,BN,noniid,unbalanced,2.131161594775532,0.2128011669617437,0.36074672423371695,1.0887779681218994
25,GN,iid,balanced,1.459635617511685,0.5048556170886075,0.569262749004364,0.8019206099708875
25,GN,noniid,balanced,2.1161594572449536,0.20923325421940928,0.2713164505496621,1.1575146020452183
