round,norm,independence,balancement,test_loss,test_acc,train_acc,train_loss
25,GN,noniid,unbalanced,2.078756071344207,0.2136702267932489,0.30662659316358604,1.1086565433762023
26,BN,iid,balanced,1.4256735998692636,0.5134538568351615,0.6290106389681498,0.7714653114477793
26,BN,noniid,balanced,2.119129794491368,0.2312248220250349,0.33968996807932844,1.1129491126537325
26,BN,noniid,unbalanced,2.037917249345955,0.24759810789001377,0.3565096281824531,1.1176862844311541
26,GN,iid,balanced,1.456327512998621,0.5075356012658229,0.5683364741961162,0.7969240516920886
26,GN,noniid,balanced,2.0724025151900602,0.21730946729957804,0.24592425373395277,1.164989086041848
26,GN,noniid,unbalanced,2.048012284035421,0.24632120253164555,0.2867165446857349,1.1358143894820054
27,BN,iid,balanced,1.4291249466670457,0.5141065467085791,0.6388903080622356,0.7607354127367337
27,BN,noniid,balanced,2.105239921815661,0.24285786527398,0.4361209125310183,0.9831480175505081
27,BN,noniid,unbalanced,2.08390099145428,0.2745528810967648,0.43684018153612975,1.0564379776740056
27,GN,iid,balanced,1.4568164515344406,0.5081948839662448,0.571724809328715,0.7895865961412589
27,GN,noniid,balanced,2.0915789714845423,0.2100441719409282,0.32301050544083115,1.0599397060771782
27,GN,noniid,unbalanced,2.0520335100371123,0.23812631856540087,0.3619199946923762,1.0927629120881652
28,BN,iid,balanced,1.4196767173058618,0.5143867418562585,0.6334637638409933,0.7672502821187178
28,BN,noniid,balanced,2.332265867092815,0.22023787582250323,0.39149402677218115,1.0402278561890126
28,BN,noniid,unbalanced,2.05652352242769,0.23678916801659602,0.3622266349407724,1.0777448162792413
28,GN,iid,balanced,1.4458791691542678,0.510067246835443,0.5658180655479431,0.7928193282584349
28,GN,noniid,balanced,2.101219512842879,0.20404469936708855,0.3118521005252996,1.1075437464813391
28,GN,noniid,unbalanced,2.058449494134525,0.23605617088607592,0.29543485351139703,1.1020474655144425
29,BN,iid,balanced,1.4086781792322534,0.5191203916452881,0.6317582591056824,0.7694327809909979
29,BN,noniid,balanced,2.2514038729087957,0.20239768594908547,0.37136404289156194,1.0505376654366652
29,BN,noniid,unbalanced,2.148189927739306,0.25401952139212347,0.46209919381321135,1.0105393781631935
29,GN,iid,balanced,1.4464164105145743,0.5114220727848101,0.5660973398844401,0.7954637735585371
29,GN,noniid,balanced,2.1337390480665217,0.19622231012658223,0.3077065363978346,1.1117166667679943
29,GN,noniid,unbalanced,2.0766461145525743,0.23474749472573841,0.36126987839437996,1.0826236713354158
30,BN,iid,balanced,1.406372768750547,0.5186259296199717,0.63104637854894,0.7698116990427176
30,BN,noniid,balanced,2.3238277838525634,0.22431883573811504,0.36910784702499705,1.069041272153457
30,BN,noniid,unbalanced,2.2741695797215775,0.24781237476765092,0.3880357232065714,1.0151059890736633
30,GN,iid,balanced,1.4572494953745025,0.5065236023206751,0.5631768566449483,0.7966993609567483
30,GN,noniid,balanced,2.1133397589755964,0.19620582805907172,0.2864069229066371,1.147283196548621
30,GN,noniid,unbalanced,2.089339188835289,0.23005999472573835,0.30424680504463736,1.0704315903963464
31,BN,iid,balanced,1.4086648288229588,0.5180424644300982,0.6328279879570008,0.763719740609328
31,BN,noniid,balanced,2.1045962690626765,0.25530182624444414,0.36869140468488143,1.0274722018341222
31,BN,noniid,unbalanced,2.1702340483488154,0.24340506991533017,0.4159645976339624,1.0567377339558106
31,GN,iid,balanced,1.4306180745237487,0.5131032436708861,0.5682233274141948,0.7843718685209753
31,GN,noniid,balanced,2.072107675306908,0.21806104957805905,0.24598688859790555,1.123135510981083
31,GN,noniid,unbalanced,2.0530563478731403,0.2506955432489451,0.3064801846241194,1.1165636694787484
32,BN,iid,balanced,1.396187728927482,0.5223970266663852,0.633626973025004,0.7730583788951239
32,BN,noniid,balanced,2.1260048504945837,0.2236925171727142,0.3472862772146861,1.062731328755617
32,BN,noniid,unbalanced,2.098089279285839,0.255957812531364,0.3959697832806485,1.0112011854999425
32,GN,iid,balanced,1.4394921090029464,0.5116363396624473,0.5696464152971904,0.7924765359361968
32,GN,noniid,balanced,2.101950412561119,0.19389174578059068,0.29211857835700106,1.1299809806545575
32,GN,noniid,unbalanced,2.0798343324963056,0.23533095991561181,0.3214153518741349,1.0894788932840538
33,BN,iid,balanced,1.3963392348051817,0.5206861880587902,0.6359738662719726,0.7620496005316575
33,BN,noniid,balanced,2.105427869394735,0.2409162777212374,0.38947287935266894,1.040091638614734
33,BN,noniid,unbalanced,2.0740815272133806,0.2671886933330518,0.34492222775818077,1.0729664134526111
33,GN,iid,balanced,1.429279386846325,0.5125659282700422,0.5686280956904094,0.8012000111738841
33,GN,noniid,balanced,2.0538450186765647,0.22350013185654002,0.2523067072749137,1.1821380237241585
33,GN,noniid,unbalanced,2.069781943011384,0.2402393196202531,0.30029476994316706,1.0853929104454105
34,BN,iid,balanced,1.39766580920921,0.521012532995499,0.6338498984972637,0.7668389407793681
34,BN,noniid,balanced,2.182111823893171,0.23376635683516148,0.45780935500959563,0.9671895082791645
34,BN,noniid,unbalanced,2.1213952580910433,0.2614166732908576,0.40457008796541977,1.043863112745863
34,GN,iid,balanced,1.4310415825763332,0.5126153744725738,0.5723197270393371,0.8029119827349979
34,GN,noniid,balanced,2.0888033272344857,0.2154371044303797,0.33016230997542534,1.1000611575941246
34,GN,noniid,unbalanced,2.0825695399493607,0.2338706487341772,0.3126375839814694,1.0646284641430837
35,BN,iid,balanced,1.4003114119937894,0.5208180445988746,0.5454303587913513,0.839115067521731
35,BN,noniid,balanced,2.1498045350754555,0.21945662582250322,0.3671518040657043,1.0709993182619413
35,BN,noniid,unbalanced,2.1726273219116368,0.2633318895355834,0.3002453373479779,1.1746974489597417
35,GN,iid,balanced,1.4252351279500164,0.5166304061181436,0.5455390160878499,0.8097312679390113
35,GN,noniid,balanced,2.0745865481312262,0.220404799578059,0.273421335319678,1.1817759456237156
35,GN,noniid,unbalanced,2.0383355478697185,0.23923391350210965,0.3053645452591122,1.1711777265622187
36,BN,iid,balanced,1.3904546389925574,0.5239463410123767,0.5477902722994487,0.8247715081274509
36,BN,noniid,balanced,2.1038328695220527,0.23695728510520364,0.3385558091705043,1.1678547556698322
36,BN,noniid,unbalanced,2.019270095777285,0.2518867418562585,0.3862427197544563,1.0775815667377575
36,GN,iid,balanced,1.419315994993041,0.5184302478902953,0.5541462355295818,0.8161658021310966
36,GN,noniid,balanced,2.0642101816487215,0.22339794303797467,0.20642533147186035,1.2607756472627323
36,GN,noniid,unbalanced,2.0250274717053283,0.25017141350210964,0.3204090996844892,1.1289796820488756
37,BN,iid,balanced,1.3975680908144519,0.5214542524047817,0.5368512006441752,0.8526529503365358
37,BN,noniid,balanced,2.0759445547377253,0.2507659612655411,0.2849229958598812,1.1707989494502546
37,BN,noniid,unbalanced,2.005703897247208,0.2745133241347395,0.39777138753559277,1.102311382026992
37,GN,iid,balanced,1.419091749140985,0.5177775580168776,0.5517988931973775,0.8167585923771062
37,GN,noniid,balanced,2.0373479513176385,0.23104562236286916,0.24270002629359558,1.295733989228805
37,GN,noniid,unbalanced,1.9993371221586618,0.26011669303797463,0.3098657412991143,1.1811558372948483
38,BN,iid,balanced,1.3922491744423457,0.5233859507170181,0.5451041640917461,0.8367353511353336
38,BN,noniid,balanced,2.074725441321416,0.2509769317296762,0.3082630644132693,1.197542048046986
38,BN,noniid,unbalanced,2.0197641971567752,0.2580741099997184,0.33077050928618656,1.1387973717294444
38,GN,iid,balanced,1.4195859464663494,0.5174281381856539,0.550814698378245,0.8142377442121506
38,GN,noniid,balanced,2.024532978997452,0.23759889240506327,0.2603217034449179,1.2872952992220719
38,GN,noniid,unbalanced,2.0144271670011533,0.2506164293248945,0.27191149980211865,1.176464865074899
39,BN,iid,balanced,1.3907609066705404,0.5227563357381152,0.545801452032725,0.8385518841942151
39,BN,noniid,balanced,2.050334045235491,0.2726706289870602,0.32314048871696,1.1854129902025063
39,BN,noniid,unbalanced,2.0063372194841183,0.2797051754005622,0.3471571885582067,1.107925246535686
39,GN,iid,balanced,1.430340206924873,0.5144679588607595,0.5503331511815389,0.8218238004048666
39,GN,noniid,balanced,2.0221462864916036,0.24945609177215186,0.23999101949731502,1.2964662788808348
39,GN,noniid,unbalanced,2.003936255028479,0.26007713607594934,0.31115094425987894,1.1618912121270133
40,BN,iid,balanced,1.3882270610104877,0.5232442049364273,0.5417656677246093,0.8517939110596974
40,BN,noniid,balanced,2.166964641686104,0.24887711632883236,0.35600821553170675,1.1936427862942216
40,BN,noniid,unbalanced,2.009392762669404,0.27758558151870577,0.3763807947540725,1.1625779449332645
40,GN,iid,balanced,1.4201379736264548,0.5168215981012657,0.5497077033042908,0.8256819133460521
40,GN,noniid,balanced,2.0406618230956517,0.22905458860759495,0.2550294083928068,1.2729921941955882
40,GN,noniid,unbalanced,2.0216631013129835,0.25303270042194087,0.3484854577196968,1.1937347929676374
41,BN,iid,balanced,1.3887157418379543,0.5234980287760899,0.5322438464482625,0.8691463518639407
41,BN,noniid,balanced,2.1023554355106016,0.25082529670857917,0.34437410072584945,1.1377038800219696
41,BN,noniid,unbalanced,2.056506685196975,0.27212012793220786,0.37603638050064586,1.1149177796824568
41,GN,iid,balanced,1.4193802943209555,0.5170787183544304,0.5404858099619548,0.8280589012801647
41,GN,noniid,balanced,2.048020801111616,0.23070609177215187,0.27330055577258267,1.245268718202909
41,GN,noniid,unbalanced,2.0062574386596683,0.26136603375527423,0.31356952998300475,1.1463185704952015
42,BN,iid,balanced,1.3968542727059694,0.5213784348942333,0.5333214328447978,0.855537918061018
42,BN,noniid,balanced,2.120684537034874,0.24512250134992938,0.3867638728529215,1.11511551151673
42,BN,noniid,unbalanced,2.020745547544477,0.2730925699153302,0.3937215059619201,1.170265656973709
42,GN,iid,balanced,1.4232196569694244,0.5137262658227848,0.5417153803507487,0.8335068733990193
42,GN,noniid,balanced,2.047189163105397,0.2396327795358649,0.2917147081171472,1.2402811525265376
42,GN,noniid,unbalanced,1.999258467316124,0.2579970991561181,0.3272411047563218,1.178466083153821
43,BN,iid,balanced,1.3938783306183937,0.5224959190714483,0.542627511660258,0.8444825761516889
43,BN,noniid,balanced,2.0243833497429438,0.25402941063262985,0.3454660547494888,1.1968483062585193
43,BN,noniid,unbalanced,2.015217890248896,0.2961971321516171,0.36503281960484385,1.1131783890220932
43,GN,iid,balanced,1.4123892057042584,0.5162315400843882,0.54605468527476,0.8296165351569652
43,GN,noniid,balanced,2.042071126332263,0.2348200158227848,0.29764143211791905,1.3263467768828072
43,GN,noniid,unbalanced,1.9843914296053635,0.2690466772151899,0.31432136904677804,1.1354170510660715
44,BN,iid,balanced,1.3921480738235168,0.5209037513499294,0.5383243512153626,0.8587511645257472
44,BN,noniid,balanced,2.093960373293372,0.24346110894486608,0.3360329102843999,1.179704473117987
44,BN,noniid,unbalanced,2.0017915969482196,0.2553479760334737,0.3413728623962781,1.0811511277258394
44,GN,iid,balanced,1.4197578150763288,0.5157964135021097,0.5420249622980753,0.832317330489556
44,GN,noniid,balanced,2.0760989408452803,0.2203124999999999,0.2794665937945246,1.2905376186966897
44,GN,noniid,unbalanced,1.980391554792219,0.27394185126582277,0.32352586411606216,1.1541987590718839
45,BN,iid,balanced,1.397479224036388,0.5212828389026721,0.5398509319941203,0.8489126953482629
45,BN,noniid,balanced,2.159191065832909,0.23854945282672266,0.3942629741902153,1.1334213030338287
45,BN,noniid,unbalanced,2.0263759428261445,0.25133624080140615,0.39899097420336704,1.1065801759489946
45,GN,iid,balanced,1.4164311792277082,0.5156019251054852,0.5422348669687906,0.8363059994578362
45,GN,noniid,balanced,2.038527356069299,0.23238066983122363,0.30415499169776833,1.3011835899452369
45,GN,noniid,unbalanced,2.020644454513421,0.25848826476793246,0.35983112827463754,1.1522609130754355
46,BN,iid,balanced,1.397533051406657,0.520142279830942,0.5189444129308064,0.8815687670310339
46,BN,noniid,balanced,2.151974422400887,0.26320003299549904,0.32569930791854856,1.1716767005125681
46,BN,noniid,unbalanced,2.0106963190674016,0.26329892540056227,0.2914538252476801,1.1254656365529108
46,GN,iid,balanced,1.421913984505939,0.5131988396624473,0.5353573975880941,0.8570218654473623
46,GN,noniid,balanced,2.033968244775941,0.23355748945147678,0.26007745123207565,1.2716063644985356
46,GN,noniid,unbalanced,1.9970701005891407,0.2664754746835443,0.2834060215836479,1.1892148733511219
47,BN,iid,balanced,1.3925878579429174,0.5222289095777775,0.5225541025479634,0.8731179840366045
47,BN,noniid,balanced,2.1353623739600422,0.2296458399575243,0.28694594021489217,1.1834695547322431
47,BN,noniid,unbalanced,2.043120697009789,0.25577650978874794,0.2929308515051527,1.2300023313481658
47,GN,iid,balanced,1.4161979076480062,0.5136174841772152,0.541938979848226,0.8489618476728599
47,GN,noniid,balanced,2.0278586844854716,0.2313620780590717,0.2549770999342203,1.202109482785066
47,GN,noniid,unbalanced,2.0002377288753976,0.2662348364978902,0.24189963786067462,1.2681246039365968
48,BN,iid,balanced,1.401466536730527,0.5202642471305201,0.521003500175476,0.8812878000736236
48,BN,noniid,balanced,2.0827356073246475,0.264370259788748,0.25889861652255053,1.2061626872420312
48,BN,noniid,unbalanced,2.250881307972508,0.26686564480984504,0.3408039638375333,1.1922410439149511
48,GN,iid,balanced,1.4188368238477265,0.5129450158227847,0.5352855575879415,0.8561234244704247
48,GN,noniid,balanced,2.0232074951823757,0.23498154008438812,0.19517533144454155,1.2725237534443536
48,GN,noniid,unbalanced,1.9859439639602534,0.27068169831223626,0.3211167395413286,1.2486661619864974
49,BN,iid,balanced,1.4002241194070886,0.5186555973414907,0.5188072450637816,0.8908915955821674
49,BN,noniid,balanced,2.0698100647668536,0.27965572919803067,0.2880913247118393,1.2025765690704184
49,BN,noniid,unbalanced,2.1037698204832984,0.2680556500841066,0.32623584094737074,1.189870072369687
49,GN,iid,balanced,1.4182857636660966,0.5129582014767933,0.5341224382082621,0.8490277967850367
49,GN,noniid,balanced,2.0253595454280386,0.23469804852320675,0.19264277951071654,1.279355622579654
49,GN,noniid,unbalanced,1.9872906052613564,0.26604034810126576,0.29994161028384464,1.2108398360677028
50,BN,iid,balanced,1.3955557165592272,0.5195027756115328,0.520850841585795,0.8878434465328852
50,BN,noniid,balanced,2.071040719101071,0.28283017540056227,0.34909033650954563,1.1847695808609326
50,BN,noniid,unbalanced,2.1274427008853927,0.2635131922781994,0.33032958268456986,1.186946934941742
50,GN,iid,balanced,1.425032831143729,0.5105287447257384,0.5402002489089965,0.8533020413915317
50,GN,noniid,balanced,2.0258845731175903,0.23650118670886078,0.25652231413225324,1.2720235366125905
50,GN,noniid,unbalanced,1.9851540840627775,0.26823905590717295,0.2706895705302555,1.2119975356923207
